02/07/2023 16:01:640, alarmId: 22, tagValue: 110.93148, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:01:643, alarmId: 16, tagValue: 110.93148, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:01:644, alarmId: 17, tagValue: 110.93148, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:01:998, alarmId: 15, tagValue: 110.93148, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:01:998, alarmId: 22, tagValue: 110.93148, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:02:001, alarmId: 16, tagValue: 110.93148, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:02:003, alarmId: 17, tagValue: 110.93148, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:13:555, alarmId: 15, tagValue: 99.8573, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:13:555, alarmId: 22, tagValue: 99.8573, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:13:575, alarmId: 16, tagValue: 99.8573, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:13:577, alarmId: 17, tagValue: 99.8573, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:13:931, alarmId: 15, tagValue: 99.8573, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:13:932, alarmId: 22, tagValue: 99.8573, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:13:935, alarmId: 16, tagValue: 99.8573, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:13:937, alarmId: 17, tagValue: 99.8573, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:14:288, alarmId: 15, tagValue: 98.157234, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:14:289, alarmId: 22, tagValue: 98.157234, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:14:292, alarmId: 16, tagValue: 98.157234, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:14:294, alarmId: 17, tagValue: 98.157234, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:14:646, alarmId: 15, tagValue: 98.157234, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:14:647, alarmId: 22, tagValue: 98.157234, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:14:650, alarmId: 16, tagValue: 98.157234, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:14:651, alarmId: 17, tagValue: 98.157234, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:15:000, alarmId: 15, tagValue: 98.157234, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:15:003, alarmId: 22, tagValue: 98.157234, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:15:003, alarmId: 16, tagValue: 98.157234, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:15:040, alarmId: 17, tagValue: 98.157234, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:15:411, alarmId: 15, tagValue: 96.35534, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:15:446, alarmId: 16, tagValue: 96.35534, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:15:495, alarmId: 17, tagValue: 96.35534, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:15:494, alarmId: 22, tagValue: 96.35534, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:15:892, alarmId: 15, tagValue: 96.35534, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:15:893, alarmId: 22, tagValue: 96.35534, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:15:896, alarmId: 16, tagValue: 96.35534, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:15:898, alarmId: 17, tagValue: 96.35534, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:16:251, alarmId: 22, tagValue: 94.45653, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:16:252, alarmId: 15, tagValue: 94.45653, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:16:255, alarmId: 16, tagValue: 94.45653, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:16:256, alarmId: 17, tagValue: 94.45653, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:16:612, alarmId: 15, tagValue: 94.45653, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:16:613, alarmId: 22, tagValue: 94.45653, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:16:615, alarmId: 16, tagValue: 94.45653, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:16:617, alarmId: 17, tagValue: 94.45653, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:16:967, alarmId: 15, tagValue: 94.45653, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:16:968, alarmId: 22, tagValue: 94.45653, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:16:970, alarmId: 16, tagValue: 94.45653, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:16:972, alarmId: 17, tagValue: 94.45653, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:17:345, alarmId: 15, tagValue: 92.46602, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:17:349, alarmId: 22, tagValue: 92.46602, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:17:349, alarmId: 16, tagValue: 92.46602, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:17:352, alarmId: 17, tagValue: 92.46602, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:17:535, alarmId: 23, tagValue: 99.8573, alarmType: HIGH, threshold: 11, priority: 1
02/07/2023 16:17:710, alarmId: 15, tagValue: 92.46602, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:17:711, alarmId: 22, tagValue: 92.46602, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:17:714, alarmId: 16, tagValue: 92.46602, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:17:715, alarmId: 17, tagValue: 92.46602, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:18:062, alarmId: 15, tagValue: 90.38926, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:18:064, alarmId: 16, tagValue: 90.38926, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:18:066, alarmId: 22, tagValue: 90.38926, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:18:069, alarmId: 17, tagValue: 90.38926, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:18:413, alarmId: 15, tagValue: 90.38926, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:18:415, alarmId: 16, tagValue: 90.38926, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:18:419, alarmId: 17, tagValue: 90.38926, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:18:420, alarmId: 22, tagValue: 90.38926, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:18:771, alarmId: 15, tagValue: 90.38926, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:18:775, alarmId: 16, tagValue: 90.38926, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:18:775, alarmId: 22, tagValue: 90.38926, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:18:778, alarmId: 17, tagValue: 90.38926, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:19:130, alarmId: 15, tagValue: 88.23196, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:19:131, alarmId: 22, tagValue: 88.23196, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:19:134, alarmId: 16, tagValue: 88.23196, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:19:136, alarmId: 17, tagValue: 88.23196, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:19:519, alarmId: 22, tagValue: 88.23196, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:19:519, alarmId: 15, tagValue: 88.23196, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:19:522, alarmId: 16, tagValue: 88.23196, alarmType: LOW, threshold: 444, priority: 1
02/07/2023 16:19:524, alarmId: 17, tagValue: 88.23196, alarmType: HIGH, threshold: 1, priority: 1
02/07/2023 16:19:878, alarmId: 15, tagValue: 88.23196, alarmType: LOW, threshold: 2333, priority: 3
02/07/2023 16:19:879, alarmId: 22, tagValue: 88.23196, alarmType: LOW, threshold: 444, priority: 1
